id,Cursor,Amp,Width,ErrorRate,aligned(ErrorRate) for Cursor,aligned(ErrorRate) for Amp,aligned(ErrorRate) for Cursor*Amp,aligned(ErrorRate) for Width,aligned(ErrorRate) for Cursor*Width,aligned(ErrorRate) for Amp*Width,aligned(ErrorRate) for Cursor*Amp*Width,ART(ErrorRate) for Cursor,ART(ErrorRate) for Amp,ART(ErrorRate) for Cursor*Amp,ART(ErrorRate) for Width,ART(ErrorRate) for Cursor*Width,ART(ErrorRate) for Amp*Width,ART(ErrorRate) for Cursor*Amp*Width
1,3,1,3,0,-0.0621069464570681084325396825,-0.0968772361518934104166666666,-0.0582618370212355546626984128,-0.1007766522779929764880952381,-0.0420295052727466874007936508,-0.0218098896487192982142857143,-0.0494364451425071950396825397,294,155,295,139,396,485,354
1,3,2,1,0,-0.1724452923217297620039682539,-0.1521770369932825943452380952,-0.1603067869456497624007936508,-0.1128300419843846767857142857,-0.1776680578403405990079365079,-0.1527084669133265166666666666,-0.1651929041614192408730158731,15.5,23.5,21.5,114.5,12.5,24.5,17.5
1,3,2,2,0.0500000000000001,-0.0845171386041022727182539682,-0.0642488832756551050595238095,-0.0723786332280222731150793651,-0.0774751770826515967261904761,-0.0713843082319419635912698414,-0.0733333279714167083333333334,-0.0724221964605781968253968253,145,256,202,222,214,229,182
1,3,2,3,0.0500000000000001,-0.0281783750284965798611111111,-0.0079101197000494122023809524,-0.0160398696524165802579365080,-0.0668480808494214479166666667,-0.0081009338441751588293650794,-0.0311115050317144964285714286,-0.0195381992944602837301587302,443,544,498,296,554,431,474
1,3,3,1,0.105263157894737,-0.0907520887245012405753968253,-0.0482625483202522130952380951,-0.0787481974985429007936507937,-0.0311368383871561553571428571,-0.0959748542431120775793650793,-0.0657985534647546961309523810,-0.0872331270437057399801587301,126.5,378.5,171.5,453.5,113.5,261.5,136.5
1,3,3,2,0.0500000000000001,-0.1135271636667588905753968253,-0.0710376232625098630952380951,-0.1015232724408005507936507937,-0.1064852021453082145833333332,-0.1003943332945985814484126985,-0.1011167721213745413690476191,-0.0957354482989571816468253967,76,230,88,123,105,123,100
1,3,3,3,0.1,0.0081415915546278165674603175,0.0506311319588768440476190477,0.0201454827805861563492063491,-0.0305281142662970514880952381,0.0282190327389492375992063492,-0.0012348292126321839285714286,0.0148184205439015001984126984,617,761,650,459,676,576,641
1,4,1,1,0.0500000000000001,-0.0533959328118438596230158729,-0.0856512545311748532738095237,-0.0244185482437361546626984128,0.0087342855009955339285714286,-0.0465811493927509371031746032,-0.0675838194666284479166666667,-0.0450462033027130691468253967,325.5,203.5,463.5,633.5,349.5,252.5,379.5
1,4,1,2,0,-0.0804949303055782631944444444,-0.1127502520249092568452380952,-0.0515175457374705582341269843,-0.0709380008086332788690476190,-0.0708487577544410897817460319,-0.0735866584702829752976190478,-0.0664004621089428870039682538,168,90,328,255,228,217,236
1,4,1,3,0,-0.0791060414166893739087301586,-0.1113613631360203675595238094,-0.0501286568485816689484126985,-0.1152607792621199336309523809,-0.0600345874225656516865079365,-0.0362940166328462553571428571,-0.0660178291581017224206349206,180.5,102.5,346.5,95.5,297.5,391.5,248.5
1,4,2,1,0.1,-0.0756390405812674953373015872,-0.0528558172773260193452380952,-0.0690761060768109802579365080,-0.0135088222684281017857142857,-0.0688242571621745728174603175,-0.0533872471973699416666666666,-0.0641099783010165908730158730,217,339,230,548,244,319,288
1,4,2,2,0.1,-0.0210546629705741096230158729,0.0017285603333673663690476191,-0.0144917284661175945436507937,-0.0114977334736291252976190475,-0.0114084904194369362103174604,-0.0073558843623942369047619048,-0.0058150638414487515873015872,500.5,594.5,512.5,558.5,529.5,552.5,557.5
